Centaurus A (Cen A),Centaurus A (Cen A)
central peak,central peak
center of figure,center of figure
center of mass,center of mass
central pit,central pit
Cepheid variable,Cepheid variable
centrifugal force,centrifugal force
centroid moment tensor (CMT),centroid moment tensor (CMT)
Cerenkov radiation,Cerenkov radiation
Ceres,Ceres
CGS (Centimeter-Gram-Second),CGS (Centimeter-Gram-Second)
Chalcophile,Chalcophile
Challenger Deep,Challenger Deep
Chandler wobble,Chandler wobble
Chandrasekhar limit (or Chandrasekhar mass),Chandrasekhar limit (or Chandrasekhar mass)
Chapman layer,Chapman layer
Chaos,Chaos
chaotic cosmology,chaotic cosmology
chaotic system,chaotic system
chaotic terrain,chaotic terrain
characteristic earthquake,characteristic earthquake
"characteristics, method of","characteristics, method of"
charge exchange,charge exchange
Chenier,Chenier
"Chezy coefficient, Chezy equation","Chezy coefficient, Chezy equation"
Charles’ Law,Charles’ Law
Charon,Charon
Chlorinity,Chlorinity
Chlorophyll,Chlorophyll
Chondrite,Chondrite
chemically peculiar star,chemically peculiar star
"chondrite, carbonaceous","chondrite, carbonaceous"
"chondrite, ordinary","chondrite, ordinary"
Chondrule,Chondrule
chromospheric heating,chromospheric heating
Christoffel symbol,Christoffel symbol
chronological future/past,chronological future/past
CHUMP (Charged Hypothetical Ultra Massive Particle),CHUMP (Charged Hypothetical Ultra Massive Particle)
Chromosphere,Chromosphere
chromatic aberration,chromatic aberration
chromospheric evaporation,chromospheric evaporation
cigar distribution,cigar distribution
Circulation,Circulation
Cirrus,Cirrus
CISK (Convective Instability of the Second Kind),CISK (Convective Instability of the Second Kind)
civil time,civil time
Clapotis,Clapotis
civil twilight,civil twilight
classical radius of electron,classical radius of electron
Clapeyron–Clausius equation,Clapeyron–Clausius equation
classical radius of electron,classical radius of electron
Clathrate,Clathrate
Clay,Clay
clear air turbulence (CAT),clear air turbulence (CAT)
"cleft, polar","cleft, polar"
climate regimes,climate regimes
climatic optimum,climatic optimum
closed magnetosphere,closed magnetosphere
clump star,clump star
CNO cycle (or tricycle),CNO cycle (or tricycle)
closed universe,closed universe
cloud classification,cloud classification
cnoidal wave,cnoidal wave
coastal jet,coastal jet
coastally trapped waves,coastally trapped waves
coastal ocean,coastal ocean
coastal upwelling or downwelling,coastal upwelling or downwelling
Cobpoint,Cobpoint
coda wave,coda wave
Coastal Zone Color Scanner (CZCS),Coastal Zone Color Scanner (CZCS)
Cobble,Cobble
coble creep (grain-boundary diffusion creep),coble creep (grain-boundary diffusion creep)
coefficient of thermal conductivity,coefficient of thermal conductivity
Coesite,Coesite
Cohesionless,Cohesionless
cohesive sediment,cohesive sediment
collision boundary,collision boundary
cohesive sediment,cohesive sediment
collisionless shock,collisionless shock
cold dark matter,cold dark matter
cold front,cold front
cold plasma,cold plasma
color-color diagram,color-color diagram
Coleman–Weinberg potential,Coleman–Weinberg potential
colored dissolved organic matter (CDOM),colored dissolved organic matter (CDOM)
color excess,color excess
Coma,Coma
color index,color index
Comet,Comet
color-magnitude diagram,color-magnitude diagram
comet(s): dirty iceball or snowball model,comet(s): dirty iceball or snowball model
comet(s): chemical composition of,comet(s): chemical composition of
comet(s): missions to,comet(s): missions to
"comet, artificial","comet, artificial"
compact group of galaxies,compact group of galaxies
Comminution,Comminution
common envelope,common envelope
Compaction,Compaction
compact steep spectrum radio sources,compact steep spectrum radio sources
common envelope binary,common envelope binary
comoving frame,comoving frame
Compensation,Compensation
"Compton, Arthur H.","Compton, Arthur H."
Compton cooling,Compton cooling
Compton reflection,Compton reflection
compensation depth,compensation depth
composite volcanos,composite volcanos
Compton scattering,Compton scattering
compound channel,compound channel
Compressibility,Compressibility
computational relativity,computational relativity
conducting string,conducting string
conductive heat transfer,conductive heat transfer
conductivity of water,conductivity of water
conformal infinity,conformal infinity
conduction (1.),conduction (1.)
conformal tensor,conformal tensor
Congruence,Congruence
conical spacetime,conical spacetime
Connection,Connection
connection longitude,connection longitude
Conics,Conics
conic section,conic section
conjugate depths,conjugate depths
Conrad discontinuity,Conrad discontinuity
Conjunction,Conjunction
conservation of angular momentum,conservation of angular momentum
conservation of energy,conservation of energy
Constellation,Constellation
constitutive law of frictional sliding,constitutive law of frictional sliding
constraint equations,constraint equations
conservation of momentum,conservation of momentum
conservative system,conservative system
continental drift,continental drift
contact binary,contact binary
Continent,Continent
continental climate,continental climate
continental collision,continental collision
continental margin,continental margin
continental plate,continental plate
continental shelf,continental shelf
continental shelf waves,continental shelf waves
Continuum,Continuum
contravariant vector,contravariant vector
Convection,Convection
convection zone,convection zone
convective adjustment,convective adjustment
convective cloud,convective cloud
convective heat transfer,convective heat transfer
convective instability,convective instability
convergent boundary,convergent boundary
convective scaling,convective scaling
convective turbulence,convective turbulence
convergent plate boundaries,convergent plate boundaries
conversion efficiency,conversion efficiency
cooling flow,cooling flow
coordinate singularity,coordinate singularity
Coordinated Universal Time (UTC),Coordinated Universal Time (UTC)
coordinate system,coordinate system
coordinate time,coordinate time
"Copernicus, Nicholas","Copernicus, Nicholas"
coplanarity theorem,coplanarity theorem
coordinate transformation in special relativity,coordinate transformation in special relativity
Cordelia,Cordelia
Cordillera,Cordillera
Core,Core
core convection,core convection
core collapse,core collapse
core-dominated quasars,core-dominated quasars
core flow,core flow
core-mantle coupling,core-mantle coupling
core-mantle boundary,core-mantle boundary
Coriolis,Coriolis
Coriolis effect(Coriolisforce),Coriolis effect(Coriolisforce)
corner frequency,corner frequency
Corona,Corona
"Coriolis, Gaspard Gustave de","Coriolis, Gaspard Gustave de"
Coriolis parameter,Coriolis parameter
coronal dimming,coronal dimming
Coronagraph,Coronagraph
coronal heating,coronal heating
coronal hole,coronal hole
